SIREN,Dénomination,SIRET,Code APE,Procédures collectives (type),Procédures collectives (date),Code postal,Date de création,Tranche effectifs,Catégorie juridique (Niveau I),Capital souscrit non appelé (I) (AA) 2016 (€),TOTAL (II) (net) (BJNET) 2016 (€),"Matières premières, approvisionnements (net) (BLNET) 2016 (€)",En cours de production de biens (net) (BNNET) 2016 (€),En cours de production de services (net) (BPNET) 2016 (€),Produits intermédiaires et finis (net) (BRNET) 2016 (€),Marchandises (net) (BTNET) 2016 (€),Avances et acomptes versés sur commandes (net) (BVNET) 2016 (€),Clients et comptes rattachés (3) (net) (BXNET) 2016 (€),Autres créances (3) (net) (BZNET) 2016 (€),"Capital souscrit et appelé, non versé (net) (CBNET) 2016 (€)",Valeurs mobilières de placement (net) (CDNET) 2016 (€),Disponibilités (net) (CFNET) 2016 (€),Charges constatées d'avance (3) (net) (CHNET) 2016 (€),TOTAL (III) (net) (CJNET) 2016 (€),Primes de remboursement des obligations (CM) 2016 (€),Ecarts de conversion actif (CN) 2016 (€),TOTAL GENERAL(I à VI) (net) (CONET) 2016 (€),Capital social ou individuel (1) (DA) 2016 (€),Report à nouveau (DH) 2016 (€),RESULTAT DE L'EXERCICE (bénéfice ou perte) (DI) 2016 (€),TOTAL (I) (DL) 2016 (€),TOTAL(II) (DO) 2016 (€),TOTAL (III) (DR) 2016 (€),Autres emprunts obligataires (DT) 2016 (€),Emprunts obligataires convertibles (DS) 2016 (€),Emprunts et dettes auprès des établissements de crédit (5) (DU) 2016 (€),Emprunts et dettes financières divers (DV) 2016 (€),Avances et acomptes reçus sur commandes en cours (DW) 2016 (€),Dettes fournisseurs et comptes rattachés (DX) 2016 (€),Dettes fiscales et sociales (DY) 2016 (€),Dettes sur immobilisations et comptes rattachés (DZ) 2016 (€),Autres dettes (EA) 2016 (€),dont comptes courants d'associés de l'exercice N (EA2) 2016 (€),Produits constatés d'avance (EB) 2016 (€),TOTAL (IV) (EC) 2016 (€),TOTAL GENERAL (I à V) (EE) 2016 (€),"(5) Dont concours bancaires courants, et soldes créditeurs de banques et CCP (EH) 2016 (€)",Chiffre d'affaires net (France) (FJ) 2016 (€),Chiffre d'affaires net (Exportations et livraisons intracommunautaires) (FK) 2016 (€),Chiffre d'affaires net (Total) (FL) 2016 (€),Subventions d'exploitation (FO) 2016 (€),"Reprises sur amortissements et provisions, transferts de charges (9) (FP) 2016 (€)",Total des produits d'exploitation (2) (I) (FR) 2016 (€),Achats de marchandises (y compris droits de douane) (FS) 2016 (€),Variation de stock (marchandises) (FT) 2016 (€),Achats de matières premières et autres approvisionnements (y compris droits de douane) (FU) 2016 (€),Variation de stock (matières premières et approvisionnements) (FV) 2016 (€),Autres achats et charges externes (3) (6 bis) (FW) 2016 (€),"Impôts, taxes et versements assimilés (FX) 2016 (€)",Salaires et traitements (FY) 2016 (€),Charges sociales (10) (FZ) 2016 (€),Dotations d'exploitation sur immobilisations (dotations aux amortissements) (GA) 2016 (€),Dotations d'exploitation sur immobilisations (dotations aux provisions) (GB) 2016 (€),Dotations d'exploitation sur actif circulant (dotations aux provisions) (GC) 2016 (€),Dotations d'exploitation pour risques et charges (dotations aux provisions) (GD) 2016 (€),Autres charges (12) (GE) 2016 (€),Total des charges d'exploitation (4) (II) (GF) 2016 (€),1 - RESULTAT D'EXPLOITATION (I - II) (GG) 2016 (€),Total des produits financiers (V) (GP) 2016 (€),Intérêts et charges assimilées (GR) 2016 (€),Total des charges financières (VI) (GU) 2016 (€),Dotations financières aux amortissements et provisions (GQ) 2016 (€),Reprises sur provisions & transferts de charges (GM) 2016 (€),Total des produits exceptionnels (VII) (HD) 2016 (€),Reprises sur provisions & transferts de charges (HC) 2016 (€),Dotations exceptionnelles aux amortissements et provisions (6 ter) (HG) 2016 (€),Total des charges exceptionnelles (VIII) (HH) 2016 (€),4 - RESULTAT EXCEPTIONNEL (VII - VIII) (HI) 2016 (€),5 - BENEFICE OU PERTE (Total des produits - total des charges) (HN) 2016 (€),Participation des salariés aux résultats de l'entreprise (HJ) 2016 (€),Impôts sur les bénéfices (HK) 2016 (€),Clients douteux ou litigieux - Montant brut (VA) 2016 (€),Sécurité sociale et autres organismes sociaux - Montant brut (8D) 2016 (€),Impôts sur les bénéfices - Montant brut (8E) 2016 (€),T.V.A. - Montant brut (VW) 2016 (€),Emprunts remboursés en cours d’exercice (VK) 2016 (€),Emprunts souscrits en cours d’exercice - à 1 an au plus (VJ2) 2016 (€),Emprunts souscrits en cours d’exercice - à plus d'un an et 5 ans au plus (VJ3) 2016 (€),Emprunts souscrits en cours d’exercice - à plus de 5 ans (VJ4) 2016 (€),Effets portés à l’escompte et non échus (YS) 2016 (€),Sous‐traitance (YT) 2016 (€),Effectif moyen du personnel (YP) 2016,Ecarts de conversion passif (V) (ED) 2016 (€),Production stockée (FM) 2016 (€),Production immobilisée (FN) 2016 (€),(3) Dont Crédit-bail mobilier (HP) 2016 (€),(3) Dont Crédit-bail immobilier (HQ) 2016 (€),3 - RESULTAT COURANT AVANT IMPOTS (I - II + III - IV + V - VI) (GW) 2016 (€),Ville,Nombre de mois de l'exercice comptable 2016,Notation NOTA-PME 2016,Catégorie juridique (Niveau II)
404734535,SOCIETE DES HYDROCARBURES DE MIDI PYRENEES,40473453500036,4671Z,,,31620.0,01/04/1996,De 10 à 19 salariés,Société commerciale,0,432629,0,0,0,0,208384,0,4674116,844634,0,0,278043,55122,6060299,0,0,6492928,383877,0,542816,1493875,0,0,0,0,152853,91,0,1435830,164057,0,3246222,0,0,4999053,6492928,67764,38000076,0,38000076,0,1052750,39054860,35892787,5835,2792,0,701830,68457,488422,174833,108657,0,7943,0,1039907,38491464,563396,13,29922,29922,0,0,19309,0,0,9980,9329,542816,0,0,183451,55273,0,6743,59784,0,0,0,0,0,0,0,0,0,0,0,533487,LABASTIDE-SAINT-SERNIN,12,"4,1",
394246417,BABCOCK MISSION CRITICAL SERVICES FRANCE,39424641700056,5110Z,,,83340.0,09/03/1994,De 200 à 249 salariés,Société commerciale,0,37487174,3834381,0,0,0,0,7416,19371174,2876796,0,0,1112679,1832244,29034690,0,88298,66610163,453733,8190287,576672,9266065,0,104550,0,0,0,10782762,9501,42731001,3620043,0,12196,0,0,57155502,66610163,0,38653757,0,38653756,5000,263029,38996534,0,0,4141921,585440,19852054,606550,7704432,3418983,3400090,0,0,0,65511,39774981,-778447,1051402,900054,1341504,88298,190923,29877770,0,0,28232550,1645220,576672,0,0,0,766276,0,1497951,0,0,0,0,0,0,168,84046,0,0,0,0,-1068548,LE CANNET-DES-MAURES,12,,
877180257,MICHARD,87718025700033,4636Z,,,56450.0,01/01/1971,De 100 à 199 salariés,Société commerciale,0,2544296,0,0,0,0,2688291,0,4338989,0,0,300000,1527771,51304,10662428,0,0,13206724,154256,0,1209069,6266490,0,0,0,0,972568,459,0,4864689,810964,180977,106942,0,0,6940234,13206724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289614,0,0,0,0,0,0,0,0,0,0,0,0,THEIX-NOYALO,12,6,
411473689,FRONERI VAYRES SAS,41147368900015,1052Z,,,33870.0,03/03/1997,De 100 à 199 salariés,Société commerciale,0,4706072,1283280,60373,0,8001,0,0,1755353,13480631,0,0,3145920,77397,19810954,0,0,24517026,9637536,-1043791,2587832,11642835,0,4271647,0,0,0,3324198,0,1916186,1902783,87904,1371472,0,0,8602543,24517026,0,37978443,0,37978443,183056,160818,37936094,110368,-102877,20552598,-245048,5391377,685238,4986417,2019805,1086076,0,-93294,190205,68,34580932,3355162,495780,288313,288313,0,319930,6668,0,0,5738,930,2587832,279584,696142,0,718096,0,87612,0,0,0,0,0,0,163,0,-386298,0,0,0,3562628,VAYRES,12,"7,3",
333403202,CHRISLIS,33340320200018,4711F,,,86800.0,29/07/1985,De 100 à 199 salariés,Société commerciale,0,4871917,76342,0,0,0,3767518,0,96243,813530,0,0,835763,140665,5730061,0,0,10601978,46500,0,651877,3243047,0,625,0,0,2187942,1244774,83606,2473123,1180747,179172,8603,0,341,7358305,10601978,0,38247742,0,38247742,9000,16467,38281226,29131565,-112202,62385,-7446,3328497,385408,2756209,937338,644835,0,18200,0,18840,37163629,1117597,18878,89298,89298,0,0,546373,520753,625,533334,13039,651877,257817,150788,19248,266114,0,59685,556729,0,0,0,0,0,0,0,0,0,0,0,1047443,JARDRES,12,"5,4",
328007497,SCARABEE,32800749700055,4711D,,,35000.0,01/09/1983,De 250 à 499 salariés,Société commerciale,0,7601060,62900,0,0,10156,1023021,22775,46293,927041,0,321506,1595323,273877,4282893,0,0,11883953,1073192,0,438596,2932122,300000,54042,0,0,4851623,101922,14,2030936,1263188,213691,136414,0,0,8597789,11883953,0,32780700,0,32780700,0,158685,32943746,20462507,-86017,1292317,-5306,3549512,478081,4339116,1585574,688901,0,5,1452,32221,32338364,605382,2213,91711,106581,14870,0,26245,0,0,27186,-941,438596,0,61477,383,414059,0,52422,776702,0,0,0,0,0,146,0,2531,0,0,811887,501014,RENNES,12,"5,2",
493166334,CASHOUEST,49316633400018,4622Z,"Jugement modifiant le plan de redressement
Jugement de plan de redressement
Dépôt de l'état des créances
Jugement d'ouverture d'une procédure de redressement judiciaire","20/12/2020
25/09/2020
15/07/2020
04/07/2019",56850.0,06/12/2006,De 1 à 2 salariés,Société commerciale,0,320383,0,0,0,0,149496,0,183842,22430,0,187,831,7200,363986,0,0,684369,66680,0,-17140,190704,0,0,0,0,130615,10400,0,278281,74369,0,0,0,0,493665,684369,62738,1599964,0,1599964,0,4850,1605167,1021305,-2327,-5977,0,281241,11801,258372,67986,14593,0,2305,0,303,1649603,-44435,1,9305,9305,0,0,48694,42383,0,12094,36600,-17140,0,0,23492,27584,0,21935,24315,0,0,0,0,0,0,0,0,0,5343,0,-53740,CAUDAN,12,"2,6",
897180329,LABORATOIRES GOEMAR / GOEMAR LE LABORATOIRE DE LA MER,89718032900046,2015Z,,,35400.0,01/01/1971,De 50 à 99 salariés,Société commerciale,0,4391141,1370399,0,0,1349430,0,1361,5624868,3427558,0,0,1363465,62699,13199781,0,19954,17610876,2160000,2556022,4658969,9590991,0,27854,0,0,0,1673108,0,3914374,1680840,502159,49000,0,122986,7942468,17610876,0,11664932,11262185,22927116,68485,1308034,24774487,3438169,0,3487979,274668,5312091,401866,3201129,1553242,312777,0,156980,185327,120500,18444729,6329759,310523,10492,187185,19954,3000,105547,7884,731,138596,-33049,4658969,334015,1427064,98725,235501,0,0,0,0,0,0,0,75574,75,49563,376351,0,0,235795,6453097,SAINT-MALO,12,"7,8",
300882032,ARTSANA FRANCE / CHICCO PRENATAL,30088203200075,4649Z,,,93210.0,01/01/1974,De 20 à 49 salariés,Société commerciale,0,174932,0,0,0,0,949660,37135,11470849,3087578,0,0,1851293,174891,17571408,0,370,17746711,3160000,-190810,428425,4536125,0,370,0,0,0,0,0,10333576,1476496,25557,1371481,0,0,13207111,17746711,0,40378491,1274253,41652744,40000,108754,41801498,25335789,-165426,800,0,11179936,289193,2866691,1202932,25023,0,213650,0,209099,41157691,643807,8840,110797,151681,370,0,4301,0,0,93605,-89304,428425,0,-16764,0,0,0,0,0,0,0,0,0,0,0,3103,0,0,0,0,500965,SAINT-DENIS,12,"4,6",
775636137,PRECIFORGE S A,77563613700017,2550A,,,63300.0,01/01/1971,De 100 à 199 salariés,Société commerciale,0,2266269,2014724,1597589,0,0,0,0,1531834,9403509,0,0,489821,38184,15075664,0,0,17341933,5016000,1604739,2761436,10582355,0,15000,0,0,381170,691002,0,3990956,1664132,0,17316,0,0,6744578,17341933,158221,3582668,33216781,36799450,0,300234,37431351,0,0,14965280,108914,11221890,457129,4101629,1800805,367563,0,0,0,262,33023474,4407876,159477,67686,67686,0,0,99001,98070,140154,155992,-56991,2761436,376318,1304922,0,536887,0,0,263657,0,0,0,0,0,0,0,270291,61341,645777,0,4499667,THIERS,12,"7,4",
675880967,WEBER ERNEST SA,67588096700012,1610A,,,67710.0,01/01/1958,De 50 à 99 salariés,Société commerciale,0,5590747,1252761,0,0,329245,943566,0,2368081,300854,0,0,20044,49761,5264312,0,0,10855059,1000000,0,133132,3193180,0,110601,0,0,1298562,3211305,0,2466217,504173,0,71021,0,0,7551279,10855059,1298562,16887755,48132,16935887,0,18434,17339307,5846760,0,5085693,240343,3046257,239221,1498285,608876,655404,0,34341,0,52,17255231,84076,191125,183408,183408,0,0,82801,0,0,15430,67371,133132,0,26033,220962,214199,0,78270,314866,0,0,0,0,0,0,0,367107,0,0,0,91794,WANGENBOURG-ENGENTHAL,12,"3,7",
398694224,SODIVAR / SUPER U,39869422400021,4711D,,,83150.0,19/10/1994,De 50 à 99 salariés,Société commerciale,0,2300347,5081,0,0,0,954285,0,64918,610752,0,0,1449051,169805,3253892,0,0,5554239,40000,0,421712,2023298,0,356798,0,0,276640,1075906,0,1354651,446847,0,20101,0,0,3174144,5554239,0,21572453,0,21572453,0,88649,21663308,16639804,-74891,24610,-1904,2399195,215455,1265318,288287,124753,0,94,0,3618,20884339,778969,27814,1272,1272,0,0,271375,248024,367401,504771,-233395,421712,0,150404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39376,0,805511,BANDOL,12,,
448933325,ARMATIS NORD,44893332500046,8220Z,,,62100.0,03/06/2003,De 500 à 999 salariés,Société commerciale,0,1054730,0,0,0,0,0,0,10588033,4154205,0,0,183673,124456,15050367,0,0,16105097,2000000,0,1140445,3140445,0,73070,0,0,130985,2507922,0,522412,5847092,25893,3857277,0,0,12891581,16105097,0,24603822,0,24603822,12403,557862,25175755,14300,0,0,0,2927988,1018897,15828113,4528936,247474,0,947,0,375,24567031,608724,15850,69024,69024,0,0,0,0,73070,254173,-254173,1140445,22089,-861157,0,2116988,0,927755,0,0,0,0,0,0,979,0,0,0,0,0,555550,CALAIS,12,5,
321643322,KOMPAN,32164332200035,4649Z,,,77190.0,02/01/1981,De 50 à 99 salariés,Société commerciale,0,284898,0,0,0,0,729877,169621,4629849,491977,0,0,613269,80129,6714725,0,0,6999623,160000,0,67396,1699590,0,321830,0,0,0,1671484,420477,1443226,1170999,405,2312,0,269298,4978203,6999623,0,20934450,0,20934450,0,0,21260945,9835334,-248944,15107,0,6878499,223357,2794288,1237075,208932,0,0,0,47886,20991534,269411,527,129356,129356,0,0,55159,0,0,32149,23010,67396,27450,68744,4884517,1171000,0,0,0,0,0,0,0,0,54,0,0,0,0,0,140581,DAMMARIE-LES-LYS,12,"4,2",
428642938,TDB AUTOMOBILES,42864293800016,4511Z,,,22100.0,21/12/1999,De 20 à 49 salariés,Société commerciale,0,271349,0,0,21306,0,4394950,0,1171055,1232150,0,2432,2057,52570,6876520,0,0,7147869,550000,0,141833,746833,0,41520,0,0,835769,1534,61200,4856844,435034,0,128908,0,40228,6359516,7147869,0,18727226,0,18727226,0,253939,18981756,17379543,-1477333,-26716,0,1175307,73518,1121208,420541,57875,0,14287,0,520,18738749,243007,5099,48110,48110,0,0,1111,0,0,41,1070,141833,0,59233,3958,148000,0,125882,0,0,0,0,0,0,0,0,-16294,0,0,0,199996,DINAN,12,"4,1",
326070216,BRASCOT SA / INTERMARCHE,32607021600014,4711F,,,60350.0,01/02/1983,De 50 à 99 salariés,Société commerciale,0,2165418,4093,0,0,0,1157705,0,194776,512659,0,1290908,243582,20082,3423805,0,0,5589223,48000,0,297761,3687552,0,17724,0,0,355737,313335,0,859158,355342,0,376,0,0,1883947,5589223,7532,20892133,0,20892133,3578,28492,20925295,17202260,53474,26443,-69,1339668,235127,1114233,295587,170984,0,5834,17724,8512,20469775,455520,100107,5953,5953,0,0,15635,0,0,7321,8314,297761,0,260228,6408,108361,0,18857,208673,0,0,0,0,0,0,0,0,0,24055,0,549674,TROSLY-BREUIL,12,"5,9",
